unique_registros_ID,genus,species,subspecies,if_hybrid,sex,locality_code,lat_dec,lon_dec,revised_accuracy,elev_min_etiq,elev_max_etiq,elev_unidad,day,month,year,Date_if_string,colector,coleccion,image_link
4167,Heliconius,telesiphe,sotericus,,hembra,Antisana Rio ECD CO,-0.733333333,-78.1,39.19,3200,3200,m,15,11,1977,,Samson,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20sotericus%20big.jpg
4168,Heliconius,telesiphe,telesiphe,,macho,Canelos ECD PA,-1.583333333,-77.75,50,,,m,,,,,,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4169,Heliconius,telesiphe,telesiphe,,macho,Ecuador  COUNTRY,-1.749886111,-78.20092778,400,,,m,,,,,,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4170,Heliconius,telesiphe,telesiphe,,macho,Santa Barbara ECD,,,,,,m,,8,1886,,,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4171,Heliconius,telesiphe,telesiphe,,macho,Loja ECD LO,-4,-79.21666667,2,,,m,,,,,,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4172,Heliconius,telesiphe,telesiphe,,hembra,Ecuador  COUNTRY,-1.749886111,-78.20092778,400,,,m,,,,,Buckley,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4173,Heliconius,telesiphe,telesiphe,,hembra,Loja ECD LO,-4,-79.21666667,2,,,m,,,,,Gaujon,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4174,Heliconius,telesiphe,telesiphe,,macho,Zamora ECD ZC,-4.066666667,-78.96666667,2,3000,4000,ft,,,,,"Baron, O.T.",BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4175,Heliconius,telesiphe,telesiphe,,macho,Sarayacu ECD PA,-1.733333333,-77.48333333,50,,,m,,,1879,,"Buckley, C.",BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4176,Heliconius,telesiphe,telesiphe,,macho,Ecuador  COUNTRY,-1.749886111,-78.20092778,400,,,m,,,,,,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4177,Heliconius,telesiphe,telesiphe,,macho,Ecuador  COUNTRY,-1.749886111,-78.20092778,400,,,m,,,,,,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4178,Heliconius,telesiphe,telesiphe,,hembra,Zamora ECD ZC,-4.066666667,-78.96666667,2,3000,4000,m,,,,,"Baron, O.T.",BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4179,Heliconius,telesiphe,telesiphe,,hembra,Numbala Rio ECD,-4.683333333,-79.1,2,1885,1885,m,,,1885,,Guajon,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4180,Heliconius,telesiphe,telesiphe,,hembra,Ecuador  COUNTRY,-1.749886111,-78.20092778,400,,,m,,,,,,BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
4181,Heliconius,telesiphe,telesiphe,,macho,Tabaconas Rio PER CA,-5.316666667,-79.28333333,,6000,6000,ft,,,1912,,"Pratt, A. & E.",BMNH,https://www.cliniquevetodax.com/Heliconius/images/telesiphe%20telesiphe%202%20big.jpg
